room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost 0088 Tipe A Babakan Madang Bogor;Yan;Bogor;Babakan Madang;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Dapur; Dispenser; Balcon; CCTV; Taman; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";N/A;Rp100.000/3 hari;Rp950.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-murah-kost-0088-tipe-a-babakan-madang-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost 121 Cinere Depok;Agustin;Depok;Cinere;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Balcon; CCTV; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda";Kamar penuh;N/A;Rp1.100.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-121-cinere-depok-2?redirection_source=list%20kos%20result%20boundary
Kost 126 Pondok Aren Tangerang Selatan;Hanny;Tangerang Selatan;Kecamatan Pondok Aren;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Dispenser; Balcon; CCTV; Jemuran; Gazebo; Jual Makanan; Taman; Parkir Mobil; Parkir Motor";Tersisa1 kamar;N/A;Rp1.100.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putra-eksklusif-kost-126-pondok-aren-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 20088 Babakan Madang Bogor;Yan;Bogor;Babakan Madang;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; R. Tamu; R. Jemur; R. Makan; R. Santai; Dispenser; CCTV; Jemuran; Pengurus Kos; Kartu Akses; Parkir Motor";Tersisa2 kamar;N/A;Rp700.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-murah-kost-20088-babakan-madang-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost 21 Alam Sutera Tipe A Serpong Utara Tangerang Selatan;Juliandy;Tangerang Selatan;Kecamatan Serpong Utara;2 x 3 meter;Termasuk listrik (implied);N/A;"2 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Cleaning service; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa2 kamar;Rp500.000;Rp1.500.000;1.0;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-campur-eksklusif-kost-21-alam-sutera-tipe-a-serpong-utara-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 21 Alam Sutera Tipe B Serpong Utara Tangerang Selatan;Juliandy;Tangerang Selatan;Kecamatan Serpong Utara;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa2 kamar;Rp500.000;Rp2.200.000;4.8;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-campur-eksklusif-kost-21-alam-sutera-tipe-b-serpong-utara-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost 28 Pondoklabu Cinere Depok;Agustin;Depok;Cinere;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp1.350.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-28-pondoklabu-cinere-depok?redirection_source=list%20kos%20result%20boundary
Kost 2nd Home Tipe Executive Palmerah Jakarta Barat;Henry Tirtasaputra Junior;Jakarta Barat;Palmerah;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Balcon; CCTV; Parkir Motor; Parkir Motor & Sepeda";Tersisa1 kamar;Rp1.000.000;Rp3.100.000;5.0;Not found;Not found;Kos Campur;Diskon 256rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-2nd-home-tipe-executive-palmerah-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost 38 Lt3 Tanjung Priok Jakarta Utara;Hadi winata;Jakarta Utara;Tanjung Priok;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Pengurus Kos";N/A;Rp10.000/2 hari;Rp700.000;4.1;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-jakarta-utara-kost-putra-murah-kost-38-lt3-tanjung-priok-jakarta-utara-2?redirection_source=list%20kos%20result%20boundary
Kost 3tranches Home SCBD Tipe A Kebayoran Baru Jakarta Selatan;Threetranches Manajemen;Jakarta Selatan;Kebayoran Baru;3 x 5 meter;Tidak termasuk listrik;N/A;"3 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; TV Kabel; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Tamu; Laundry; R. Jemur; Dapur; Dispenser; CCTV; Pengurus Kos; Parkir Motor; Parkir Sepeda";N/A;Rp1.000.000;Rp3.500.000;4.0;(5);22 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-3tranches-home-scbd-tipe-a-kebayoran-baru-jakarta-selatan-1?redirection_source=list%20kos%20result%20boundary
Kost 3tranches Home Senopati Kebayoran Baru Jakarta Selatan;Threetranches Manajemen;Jakarta Selatan;Kebayoran Baru;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; TV; Kulkas; Lemari Baju; Bantal; Cermin; Guling; Jendela; Wastafel; K. Mandi Dalam; Shower; Air panas; WiFi; Dapur; Dispenser; CCTV; Pengurus Kos; Parkir Motor";N/A;Rp1.000.000;Rp3.800.000;4.6;Not found;13 transaksi berhasil di kos ini;Kos Campur;Diskon 304rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-3tranches-home-senopati-kebayoran-baru-jakarta-selatan?redirection_source=list%20kos%20result%20boundary
Kost 3tranches Home Tipe D Cilandak Jakarta Selatan;Threetranches Manajemen;Jakarta Selatan;Cilandak;4.6 x 6 meter;Tidak termasuk listrik;N/A;"4.6 x 6 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Cermin; Dapur Pribadi; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Jemur; R. Santai; Dapur; Dispenser; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";N/A;N/A;Rp4.000.000;3.6;(1);12 transaksi berhasil di kos ini;Kos Campur;Diskon 193rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-3tranches-home-tipe-d-cilandak-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost 44 Ciputat Timur Tangerang Selatan;Yudha Zed;Tangerang Selatan;Kecamatan Ciputat Timur;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; TV; Parkir Motor";Tersisa2 kamar;N/A;Rp750.000;5.0;Not found;1 transaksi berhasil di kos ini;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putra-murah-kost-44-ciputat-timur-tangerang-selatan-1?redirection_source=list%20kos%20result%20boundary
Kost 50 Tipe A Limo Depok;Alwi Dias P;Depok;Limo;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Guling; Jendela; Cermin; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;N/A;Rp1.400.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-50-tipe-a-limo-depok?redirection_source=list%20kos%20result%20boundary
Kost 93 Suites Primier Tanjung Priok Jakarta Utara;Naimi Gandaria Simanjuntak;Jakarta Utara;Kecamatan Tanjung Priok;4 x 5 meter;Tidak termasuk listrik;N/A;"4 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Meja Rias; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Tamu; Penjaga Kos; R. Makan; Dapur; Dispenser; CCTV; Kartu Akses; Pengurus Kos; Parkir Motor";Kamar penuh,lihat tipe kamar lainnya;Rp500.000;Rp3.500.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-93-suites-primier-tanjung-priok-jakarta-utara?redirection_source=list%20kos%20result%20boundary
Kost 93 Suites Standart 2 Tanjung Priok Jakarta Utara;Naimi Gandaria Simanjuntak;Jakarta Utara;Kecamatan Tanjung Priok;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; WiFi; Kulkas; R. Tamu; R. Makan; Dapur; Dispenser; CCTV; Kartu Akses; Pengurus Kos; Parkir Motor";Kamar penuh,lihat tipe kamar lainnya;Rp300.000;Rp2.200.000;5.0;(1);2 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-utara-kost-campur-eksklusif-kost-93-suites-standart-2-tanjung-priok-jakarta-utara?redirection_source=list%20kos%20result%20boundary
Kost 99 Tipe B Pondok Aren Tangerang Selatan;Nia;Tangerang Selatan;Kecamatan Pondok Aren;2.5 x 4 meter;Tidak termasuk listrik;N/A;"2.5 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Kulkas; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; CCTV; Pengurus Kos; Parkir Motor";Tersisa1 kamar;Rp200.000;Rp850.000;4.9;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putra-murah-kost-99-tipe-b-pondok-aren-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost A21 Pondoklabu Cinere Depok;Agustin;Depok;Cinere;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; Cermin; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Jemur; Dapur; Pengurus Kos; Jemuran; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp1.600.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-a21-pondoklabu-cinere-depok-1?redirection_source=list%20kos%20result%20boundary
Kost Aamodini Tipe A Bojongsari Depok;Dini Hikmawati Rizki;Depok;Bojongsari;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kipas Angin; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Bak mandi; WiFi; Kulkas; Mesin Cuci; R. Tamu; Mushola; R. Makan; R. Santai; Dapur; Balcon; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh;Rp25.000/3 hari;Rp700.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kota-depok-kost-campur-murah-kost-aamodini-tipe-a-bojongsari-depok?redirection_source=list%20kos%20result%20boundary
Kost Abah Penjaringan Jakarta Utara;ibu arif;Jakarta Utara;Penjaringan;3 x 2 meter;Termasuk listrik (implied);N/A;"3 x 2 meter; Termasuk listrik; Lemari Baju; Kipas Angin; Ember mandi";Tersisa3 kamar;N/A;Rp800.000;3.4;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-utara-kost-campur-murah-kost-abah-penjaringan-jakarta-utara-1?redirection_source=list%20kos%20result%20boundary
Kost Abas Babakan Madang Bogor;ermawati kusumaningdyah;Bogor;Babakan Madang;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Jendela; Kloset Duduk; K. Mandi Luar; Ember mandi; Laundry; R. Jemur; Dispenser";Tersisa1 kamar;Rp400.000/minggu;Rp700.000;Not found;Not found;1 transaksi berhasil di kos ini;Kos Putra;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-putra-murah-kost-abas-babakan-madang-bogor-1?redirection_source=list%20kos%20result%20boundary
Kost Abdi Muwardi Residence Tipe A Grogol Petamburan Jakarta Barat;Alya;Jakarta Barat;Grogol Petamburan;2 x 4 meter;Tidak termasuk listrik;N/A;"2 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Cermin; Bantal; Cleaning service; Guling; Wastafel; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Air panas; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Jemur; R. Makan; Dapur; Dispenser; CCTV; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;Rp500.000;Rp2.180.000;4.6;(31);81 transaksi berhasil di kos ini;Kos Campur;Diskon 113rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-abdi-muwardi-residence-tipe-a-grogol-petamburan-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost Abigail VVIP Kebon Jeruk Jakarta Barat;IIN KOST PUTRI;Jakarta Barat;Kebon Jeruk;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Kipas Angin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; R. Jemur; R. Santai; Dapur; Jemuran; R. Keluarga; Parkir Motor";Tersisa1 kamar;N/A;Rp880.000;4.5;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-jakarta-barat-kost-putri-eksklusif-kost-abigail-vvip-kebon-jeruk-jakarta-barat-1?redirection_source=list%20kos%20result%20boundary
Kost Abu Beji Depok;Kost Abu Khansa Beji Depok;Depok;Beji;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Balcon; CCTV; Parkir Motor; Parkir Sepeda";Tersisa3 kamar;N/A;Rp800.000;3.8;(1);Not found;Kos Putri;Diskon 90rb;https://mamikos.com/room/kost-kota-depok-kost-putri-murah-kost-abu-beji-depok-1?redirection_source=list%20kos%20result%20boundary
Kost Abun Tipe A Beji Depok;Tati Zakiah;Depok;Kecamatan Beji;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Kulkas; R. Jemur; Dapur; Balcon; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp650.000;4.8;Not found;9 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-abun-tipe-a-beji-depok?redirection_source=list%20kos%20result%20boundary
Kost Abun Tipe A Beji Depok;Tati Zakiah;Depok;Kecamatan Beji;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp650.000;4.8;Not found;9 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-abun-tipe-a-beji-depok?redirection_source=list%20kos%20result%20boundary
Kost Adhiraka Tipe C Pinang Tangerang;Tony Yuria Hadi;Tangerang;Kecamatan Pinang;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; R. Jemur; Balcon; Rooftop; Parkir Motor; Parkir Motor & Sepeda";Tersisa2 kamar;Rp200.000;Rp1.300.000;5.0;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-putri-eksklusif-kost-adhiraka-tipe-c-pinang-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost Adinda Tipe Non Ac Serpong Tangerang Selatan;Aditiya Bagus Wicaksono;Tangerang Selatan;Serpong;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Laundry; Penjaga Kos; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; Jual Makanan; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;Rp500.000;Rp1.100.000;Not found;Not found;3 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-campur-eksklusif-kost-adinda-tipe-non-ac-serpong-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost Adit Aster Cikarang Barat Bekasi;Heni;Bekasi;Cikarang Barat;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; Cermin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Balcon; Pengurus Kos; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;N/A;Rp1.400.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-putra-eksklusif-kost-adit-aster-cikarang-barat-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Aeon Bsd Tipe Executive Cisauk Tangerang;Iyan Pemilik Langsung Whatsapp Only Lihat Profil Gambar;Bogor;Cisauk;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; TV; Lemari Baju; Ventilasi; Wastafel; Dapur Pribadi; TV Kabel; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Dapur; CCTV; Jemuran; R. Keluarga; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;N/A;Rp1.300.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-tangerang-kost-campur-eksklusif-kost-aeon-bsd-tipe-executive-cisauk-tangerang?redirection_source=list%20kos%20result%20boundary
Kost Aeon BSD Tipe Supreme Cisauk Tangerang;Iyan Pemilik Langsung Whatsapp Only Lihat Profil Gambar;Bogor;Cisauk;5 x 6 meter;Tidak termasuk listrik;N/A;"5 x 6 meter; Tidak termasuk listrik; AC; TV; Lemari Baju; Ventilasi; Jendela; Wastafel; Dapur Pribadi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; R. Tamu; R. Jemur; R. Makan; R. Santai; CCTV; R. Keluarga; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;N/A;Rp1.500.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-tangerang-kost-campur-eksklusif-kost-aeon-bsd-tipe-supreme-cisauk-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost AF II 2 Serpong Tangerang Selatan;KARTINIH;Tangerang Selatan;Serpong;4 x 3.5 meter;Tidak termasuk listrik;N/A;"4 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Guling; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Laundry; Penjaga Kos; R. Tamu; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;Rp1.000.000;Rp1.800.000;5.0;(1);5 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putri-eksklusif-kost-orchid-serpong-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost Agung Utara Tanjung Priok Jakarta Utara;Pemilik Kos;Jakarta Utara;Tanjung Priok;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Ventilasi; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; Laundry; R. Makan; R. Jemur; Mushola; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;N/A;Rp1.600.000;4.1;Not found;4 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-jakarta-utara-kost-putri-eksklusif-kost-agung-utara-tanjung-priok-jakarta-utara-2?redirection_source=list%20kos%20result%20boundary
Kost Agustin Tipe B Kado Limo Depok;Agustin;Depok;Limo;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; R. Jemur; Dapur; Taman; Balcon; Pengurus Kos; Jemuran; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp1.250.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-agustin-tipe-b-kado-limo-depok?redirection_source=list%20kos%20result%20boundary
Kost AIIIR Residence Tipe Ekonomi Serpong Tangerang Selatan;AIIIR Residence BSD;Tangerang Selatan;Serpong;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Cermin; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Makan; R. Jemur; Mushola; R. Santai; Dapur; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;Rp1.000.000;Rp1.300.000;4.8;Not found;4 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putri-eksklusif-kost-aiiir-residence-tipe-ekonomi-serpong-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Aisyah 2 Setu Tangerang Selatan;Rheza Bachtiar;Tangerang Selatan;Kecamatan Setu;2.6 x 2.6 meter;Tidak termasuk listrik;N/A;"2.6 x 2.6 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Balcon; CCTV; Jemuran; Pengurus Kos; Rooftop; Parkir Motor";N/A;N/A;Rp950.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putri-murah-kost-aisyah-2-setu-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost Akim Tipe C Tanjung Priok Jakarta Utara;ibu akim;Jakarta Utara;Tanjung Priok;4 x 3 meter;Termasuk listrik (implied);N/A;"4 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; Kulkas; R. Tamu; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;N/A;Rp1.450.000;4.8;Not found;Not found;Kos Campur;Diskon 78rb;https://mamikos.com/room/kost-kota-jakarta-utara-kost-campur-eksklusif-kost-akim-tipe-c-tanjung-priok-jakarta-utara-1?redirection_source=list%20kos%20result%20boundary
