room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost Singgahsini Oasis Kedoya Tipe B Kebon Jeruk Jakarta Barat;Kos dikelola oleh Bella;Jakarta Barat;Kebon Jeruk;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Jendela; Bantal; Cermin; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; Penjaga Kos; Dapur; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.625.000;4.6;(3);5 transaksi berhasil di kos ini;Kos Campur;Diskon 83rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-oasis-kedoya-tipe-b-kebon-jeruk-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Oasis Kedoya Tipe C Kebon Jeruk Jakarta Barat;Kos dikelola oleh Bella;Jakarta Barat;Kebon Jeruk;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Jendela; Bantal; Cermin; Guling; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; Penjaga Kos; Dapur; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.325.000;4.4;(3);3 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-oasis-kedoya-tipe-c-kebon-jeruk-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Oemah Waringin Tipe A Makasar Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Makasar;3.2 x 3.2 meter;Tidak termasuk listrik;Rp1.375.000;"3.2 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; Kulkas; R. Tamu; R. Makan; R. Jemur; Dapur; CCTV; Parkir Mobil; Parkir Motor & Sepeda";N/A;Rp150.000;Rp1.267.000;5.0;(1);3 transaksi berhasil di kos ini;Kos Campur;Diskon 108rb;https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-oemah-waringin-tipe-a-makasar-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Ohana Tipe B Cilandak Jakarta Selatan;Kos dikelola oleh Dida;Jakarta Selatan;Cilandak;5.3 x 3.9 meter;Tidak termasuk listrik;Rp2.275.000;"5.3 x 3.9 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Tamu; R. Makan; Dapur; CCTV; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp500.000;Rp2.162.500;4.6;(1);6 transaksi berhasil di kos ini;Kos Campur;Diskon 113rb;https://mamikos.com/room/kost-jakarta-selatan-kost-campur-eksklusif-kost-singgahsini-ohana-tipe-b-cilandak-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Omah Nena Tipe A Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3.7 x 2.8 meter;Tidak termasuk listrik;Rp1.925.000;"3.7 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Jemur; Dapur; Dispenser; Rooftop; Balcon; CCTV; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp200.000;Rp1.735.000;4.5;Not found;3 transaksi berhasil di kos ini;Kos Putri;Diskon 190rb;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-singgahsini-omah-nena-tipe-a-beji-depok-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Omah Nena Tipe B Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3.7 x 2.8 meter;Tidak termasuk listrik;Rp1.725.000;"3.7 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Penjaga Kos; R. Jemur; Dapur; Dispenser; Rooftop; CCTV; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp200.000;Rp1.555.000;4.0;(0);12 transaksi berhasil di kos ini;Kos Putri;Diskon 170rb;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-singgahsini-omah-nena-tipe-b-beji-depok-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Omah Opung Tipe A Kebayoran Lama Jakarta Selatan;Kos dikelola oleh Dida;Jakarta Selatan;Kebayoran Lama;3.8 x 3.1 meter;Termasuk listrik (implied);Rp3.635.000;"3.8 x 3.1 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kulkas; Kursi; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Tamu; R. Makan; Dapur; Dispenser; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp500.000;Rp3.274.000;4.6;(9);19 transaksi berhasil di kos ini;Kos Putri;Diskon 361rb;https://mamikos.com/room/kost-jakarta-selatan-kost-putri-eksklusif-kost-singgahsini-omah-opung-tipe-a-kebayoran-lama-jakarta-selatan-1?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini One Residence Tipe A Kemayoran Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kemayoran;3 x 3.6 meter;Tidak termasuk listrik;Rp2.525.000;"3 x 3.6 meter; Tidak termasuk listrik; AC; Kasur; TV; Lemari Baju; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; CCTV; Parkir Mobil; Parkir Motor & Sepeda";N/A;Rp300.000;Rp2.325.000;5.0;(1);1 transaksi berhasil di kos ini;Kos Campur;Diskon 200rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-one-residence-tipe-a-kemayoran-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Ono Tipe A Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;3.6 x 2.8 meter;Tidak termasuk listrik;N/A;"3.6 x 2.8 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Kipas Angin; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Tamu; R. Jemur; Dapur; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.225.000;4.5;(2);5 transaksi berhasil di kos ini;Kos Campur;Diskon 63rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-ono-tipe-a-cempaka-putih-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Ono Tipe B Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;2.8 x 2.8 meter;Tidak termasuk listrik;N/A;"2.8 x 2.8 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Kursi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; R. Jemur; Dapur; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.175.000;4.4;(3);3 transaksi berhasil di kos ini;Kos Campur;Diskon 63rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-ono-tipe-b-cempaka-putih-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
